	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
PM0514-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PM0517-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PM0518-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0519-CW	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0520-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0521-CW	K,T	CVMNK,CVIET	I,N	R,C	S,N	I	A	K	A	A		0		0	
PM0522-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0523-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0524-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0525-CW	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0526-CW	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0527-CW	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
PM0528-CW	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PM0529-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0530-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0531-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0532-CW	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0533-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0534-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0535-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0536-CW	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0537-CW	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0538-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0539-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0540-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0541-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0542-CW	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_20	0	
PM0543-CW	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PM0544-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0545-CW	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PM0546-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0547-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0548-CW	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	S,A		0		0	
PM0549-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0550-CW	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
PM0551-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0552-CW	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
PM0554-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0555-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0556-CW	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0557-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0558-CW	T	CVIET	I	R	N	I	G	K	A	S		0		0	
PM0559-CW	T	CVIET	I	R	N	I	G	K	A	S	S522C	0		0	
PM0560-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0561-CW	T	CVIET	I	R	N	I	A	K	A	A		0	PfMDR1_dup_02	0	
PM0562-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0563-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0564-CW	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0565-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0566-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0567-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0568-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0569-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0570-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0571-C	K	CVMNK	I	R	N	I	A	K	A	A		0	PfMDR1_dup_19	0	
PM0572-C	K,T	CVMNK,CVIET	N	C	S	I	A	K	A	A		0		0	
PM0573-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0574-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0575-C	K	CVMNK	I,N	R,C	N	I	G	K	A	A		0		0	
PM0576-C	T	CVIET	I	R	N	I	A	K	A	A,S		0		0	
PM0577-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0578-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0579-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0580-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0581-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0582-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0583-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0584-C	T	CVIET	N	C	S	I	A,G	K	A	A		0		0	
PM0585-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0586-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0587-C	K,T	CVMNK,CVIET	I,N	R,C	N	I	G	K	A	A		0		0	
PM0588-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0589-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0590-C	T	CVIET	I	R	N	I	G	K	A	A	E596G	0		0	
PM0591-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0592-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0593-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PM0594-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0595-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PM0596-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0597-C	T	CVIET	N	C	S	I	A,G	K	A	A		0		0	
PM0598-C	K	CVMNK	I,N	R,C	N	I	G	K	A	A		0		0	
PM0599-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0600-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0601-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0602-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0603-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
PM0604-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0605-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0606-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0607-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0608-C	K,T	CVMNK,CVIET	N	C	S	I	A	K	A	A		0		0	
PM0609-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0610-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0611-C	K	CVMNK	I,N	R	N	I	A	K	A	A		0		0	
PM0612-C	T,K	CVIET,CVMNK	N	R	N	I	A	K	A	A		0		0	
PM0613-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0695-CW	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0696-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0700-CW	K,T	CVMNK,CVIET	I,N	R,C	N	I	A	K	A	A		0		0	
PM0704-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0705-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0711-CW	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		-1	PfPlasmepsin_1
PM0713-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0714-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0716-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0718-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0719-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0723-CW	K	CVMNK	N	C	S	I	A,G	K	A	A		0		0	
PM0724-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	PfPlasmepsin_1
PM0725-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0727-CW	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0733-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0735-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0738-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0739-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0743-CW	T	CVIET	I,N	R,C	N,S	I	G,A	K	A	S,A		0		0	
PM0744-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0745-CW	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	A,S		0		0	
PM0746-CW	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0748-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0752-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0753-CW	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0755-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0758-CW	K	CVMNK	I	R	N,S	I	G,A	E,K	A	A		0		0	
PM0759-CW	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G	K	A	A,S		0		0	
PM0763-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0765-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0766-CW	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0769-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0772-CW	T	CVIET	I	R	N	I	G	E	A	A		-1		0	
PM0774-CW	T	CVIET	I	R	N	I	G	K	A	A		0		-1	PfPlasmepsin_1
PM0775-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0776-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	PfPlasmepsin_1
PM0777-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0782-CW	K	CVMNK	N	C	S	I	G	K	A	S		0		0	
PM0784-CW	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A	K	A	A	a578s	0		0	
PM0788-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0791-CW	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0793-CW	K	CVMNK	I	R	N	I	A,G	K	A	A		-1		0	
PM0794-CW	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0801-CW	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PM0802-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0803-CW	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0804-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0805-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0806-C	K	CVMNK	N	C	S	I	A,G	K	A	A,S		0		0	
PM0807-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0808-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0809-C	K,T	CVMNK,CVIET	N,I	R	N,S	I	A,G	K	A	A		0		0	
PM0810-C	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0811-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PN0003-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0004-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0005-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0006-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0007-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0008-C	T,K	SVMNT,CVMNK*	N	R,C	N	I	G,A	E,K	A	A		1	PfMDR1_dup_11	0	
PN0010-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0011-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0012-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0014-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0015-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0019-C	T	SVMNT	N	R	N	I	A	K	A	A		-1		0	
PN0020-C	-	-	N	R	N	I	G	K	A	A		-1		0	
PN0022-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0023-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0025-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0031-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0032-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0037-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0040-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0041-C	T	SVMNT	N	R	N	I	A	K	A	A		-1		0	
PN0042-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0043-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0044-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0054-C	K,T	CVMNK,SVMNT*	N	R	N	I	A	K	A	A		0		0	
PN0055-Cx	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0056-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0057-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	PfPlasmepsin_1
PN0058-Cx	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0059-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0063-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0073-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0074-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0075-C	T,K	SVMNT,CVMNK*	N	R,C	N,S	I	A	K	A	A		0		0	
PN0077-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0078-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0079-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0082-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0083-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0084-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0085-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0086-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0087-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0090-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0097-C	T	SVMNT	N	R	N	I	G	E	A	A		0	PfMDR1_dup_15	0	
PN0098-C	T	SVMNT	N	R	N	I	G	E	A	A		1	PfMDR1_dup_15	0	
PN0099-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0101-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0102-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0103-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0104-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0105-C	K,T	CVMNK,SVMNT*	N	R	N	I	A	K	A	A		0		0	
PN0107-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0108-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0109-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0110-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0111-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0112-C	K,T	CVMNK,SVMNT*	N	R	N	I	A	K	A	A		0		0	
PN0113-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0114-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0115-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0116-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0117-C	T	SVMNT	N	R	N	I	A,G	K,E	A	A		0		0	
PN0118-C	T	SVMNT	N	R	N	I	A,G	K,E	A	A		0		0	
PN0119-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0120-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0121-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0122-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0124-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0125-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0126-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PN0127-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0128-C	T	SVMNT	N	R	N	I	G	K,E	A	A		0		0	
PN0129-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0130-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0131-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0133-C	T	SVMNT	N	R	N	I	A,G	K	A	A		0		0	
PN0134-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0135-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0138-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0140-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0141-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0142-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0143-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0145-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0148-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0149-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0150-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0151-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0153-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0154-C	T	SVMNT	N	R	N	I	G	E	A	A	a724p	0		0	
PN0155-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0156-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0159-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0161-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0162-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0163-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0164-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0165-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0166-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0168-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0169-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0170-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0171-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0172-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0173-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0176-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0177-C	T	SVMNT	N	R	N	I	G	K	A	A		0		0	
PN0178-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0179-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0180-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0181-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0182-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0184-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0185-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0186-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0187-C	T	SVMNT	N	R	N	I	A	K	A	A		0		0	
PN0190-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PN0191-C	T	SVMNT	N	R	N	I	A	K	A	A	A724P	0		0	
PN0192-C	T	SVMNT	N	R	N	I	G	E	A	A		0		0	
PP0002-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0004-C	T	SVMNT	I	C	N	L	G	K	G	A		0		0	
PP0005-C	T	SVMNT	I	C	N	L	G	K	G	A		0	PfMDR1_dup_13	0	
PP0010-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0011-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0012-C	T	SVMNT	I	C	N	L	G	E	G	A		0		0	
PP0013-C	T	SVMNT	N	C	N	I	G	K	G	A		0		0	
PP0014-C	T	SVMNT	I	C	N	I	G	E	G	A		0		0	
PP0015-C	T	SVMNT	I	C	N	I	G	E	G	A		0		0	
PP0016-C	T	SVMNT	I	C	N	I	G	E	G	A		0		0	
PP0017-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0019-C	T	SVMNT	I	C	N	L	G	K	G	A		0		0	
PP0020-C	T	SVMNT	N	C	N	I	G	K	G	A		0		0	
PP0021-C	T	SVMNT	N	C	N	I	A	K	A	A		0		0	
PP0023-C	T	SVMNT	N	C	N	I	A	K	A	A		0		0	
PP0024-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0025-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0026-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	PfPlasmepsin_1
PP0027-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0028-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PP0029-C	T	CVMNT	N	C	N	I	A	K	A	A		0		0	
PR0001-CW	T	CVIET	I	C	N	I	G	E	A	A		0		0	
PR0002-CW	T	CVIET	N	R	N	L	G	E	G	A		0		0	
PR0003-CW	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0004-CW	K	CVMNK	N	R	N	I	G,A	E,K	G,A	A		0		0	
PR0005-CW	T	CVIET	I	R	N	L	G	E	G	A		0	PfMDR1_dup_13	0	
PR0006-CW	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0007-CW	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0008-CW	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PR0009-CW	T	CVIET	I,N	R	N	I	G	E,K	G,A	A		0	PfMDR1_dup_08	0	
PR0010-C	K,T	CVMNK,CVIET	N	R	N	I	G,A	E,K	G,A	A		0		0	
PR0012-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0013-C	T	CVIET	N,I	R,C	N,S	I	A,G	K,E	A	A		0		0	
PR0014-CW	T	CVIET	N,I	R	N	I	G	E	A	A		0		0	
PR0015-C	T	CVIET	I,N	R	N	I	A,G	K,E	A	A		0		0	
PR0016-C	T	CVIET	N	R	N	I	G	E	G	A		0		0	
PR0017-C	T	CVIET	I	R	N	I	G	E	G	A		0		0	
PR0018-C	K	CVMNK	N	R	N	I	G,A	E	G,A	A		0		0	
PR0019-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0020-C	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0022-CW	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PR0024-CW	T	CVIET	I,N	R	N	L	G	E,K	A	A		0		0	
PR0032-C	T	CVIET	N	R	N	I	G	E	G	A		0		0	
PR0033-C	T	CVIET	N	R	N	I	A,G	K	A	A		0		0	
PR0039-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0040-CW	T	CVIET	I	R	N	L	A,G	K	A	A		0		0	
PR0042-C	T	CVIET	N	R	N	L	A	K	A	A		0		0	
PR0043-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0044-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0045-C	T,K	CVIET,CVMNK	I	R	N	L,I	G	E	A	A		0		0	
PR0114-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0115-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0116-C	T	CVIET	I,N	R	N	I,L	G	E	A	A		0		0	
PR0117-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0118-C	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0119-C	K	CVMNK	I,N	R	N	L,I	G,A	E,K	A	A		0		0	
PR0120-C	T	CVIET	I	R	N	L	G	E	G	A		0		0	
PR0121-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0122-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0123-C	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0124-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0125-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0126-C	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PR0127-C	K,T	CVMNK,CVIET	I	R	N	L	G	E	A	A		0		0	
PR0128-C	T	CVIET	N	R	N	L	G	E	A	A		0		0	
PR0129-C	T	CVIET	N	R	N	I	A,G	K	A	A		0		0	
PR0130-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0131-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0132-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0133-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PR0134-C	T	CVIET	N,I	R	N	I,L	G,A	K	G,A	A		0		0	
PR0135-C	T	CVIET	I,N	R	N	L,I	G	E	G,A	A		0		0	
PR0136-C	T	CVIET	N	R	N	L	G	E	A	A		0	PfMDR1_dup_19	0	
PR0137-C	T	CVIET	I,N	R	N	I,L	G	E	A	A		0		0	
PR0138-C	T	CVIET	N	R	N	I	G	E	A,G	A		0		0	
PR0141-C	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0142-C	T	CVIET	I	R	N	I	G,A	K,E	A,G	A		0		0	
PR0143-C	T	CVIET	N	C,R	N	I	G,A	E	A	A		0		0	
PR0144-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0145-C	T	CVIET	N	R	N	L	G	E	A	A		0		0	
PR0146-C	K,T	CVMNK,CVIET	I,N	R	N	L,I	G	E	A	A		0		0	
PR0147-C	T	CVIET	I,N	R	N	I,L	G	K,E	A	A		0		0	
PR0148-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PR0149-C	T	CVIET	N,I	R	N	L	G	K	G	A		-1		0	
PR0150-C	T	CVIET	N	R	N	I,L	A,G	K,E	A	A		0		0	
PR0151-C	T	CVIET	N	R	N	L,I	G,A	E,K	A	A		0		0	
PR0153-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PR0154-C	T	CVIET	I	R	N	L	G	K	G	A		0		0	
PR0155-C	T	CVIET	I	R	N	L	G	E	A	A		0		0	
PR0156-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PR0157-C	T	CVIET	I	R	N	L	G	K	G	A		0		0	
